"accountHolderID","bankAccount","investiment","customerStability","overdraftLimit","multipleChannel","serviceLoan","bankGuarantee","contract","paymentMethod","monthlyCharges","totalCharges","churn"
"6380-ARCEH","PF","Não","1","Não","Não","Não","0","Semestral","PIX","20.2","20.2","Não"
"3679-XASPY","PJ","Sim","1","Não","Não","Não","0","Semestral","Débito automático","119.451","1301.911","Não"
"7123-WQUHX","PF","Não","38","Não","Sim","Mesa","0","Uma vez ao ano","Transferência bancária","95","3605.6","Não"
"5386-THSLQ","PJ","Sim","66","Não","Somente telefone","Website","0","Uma vez ao ano","Transferência bancária","145.551","3046.051","Não"
"3192-NQECA","PF","Sim","68","Sim","Sim","Mesa","0","Duas vezes ao ano","Transferência bancária","110","7611.85","Sim"
"6180-YBIQI","PF","Não","5","Não","Somente telefone","Website","0","Semestral","PIX","24.3","100.2","Não"
"6728-DKUCO","PJ","Sim","72","Sim","Sim","Mesa","1","Uma vez ao ano","Débito automático","104.151","7895.151","Não"
"9750-BOOHV","PJ","Não","32","Não","Somente telefone","Website","0","Uma vez ao ano","PIX","310.151","1022.955","Não"
"8597-CWYHH","PF","Não","43","Não","Sim","Mesa","0","Uma vez ao ano","PIX","94.35","3921.3","Não"
"2848-YXSMW","PF","Sim","72","Não","Não","Não","0","Duas vezes ao ano","Boleto","19.4","1363.25","Não"
"0486-HECZI","PF","Sim","55","Sim","Sim","Mesa","0","Semestral","Débito automático","96.75","5238.9","Sim"
"4549-ZDQYY","PJ","Não","52","Não","Não","Website","1","Uma vez ao ano","Boleto","571.951","5283.567","Não"
"5712-AHQNN","PJ","Não","43","Sim","Não","Mesa","1","Semestral","Débito automático","911.651","4162.944","Não"
"4846-WHAFZ","PJ","Sim","37","Sim","Sim","Mesa","1","Semestral","Débito automático","716.511","3505.111","Sim"
"5256-SKJGO","PJ","Sim","64","Sim","Somente telefone","Website","0","Duas vezes ao ano","Débito automático","541.611","1530.623","Não"
"3071-VBYPO","PF","Sim","3","Não","Não","Mesa","0","Semestral","Débito automático","89.85","248.4","Não"
"9560-BBZXK","PJ","Não","36","Não","Somente telefone","Website","0","Duas vezes ao ano","Transferência bancária","131.051","1093.145","Não"
"5299-RULOA","PJ","Sim","10","Sim","Sim","Mesa","1","Semestral","Débito automático","100.251","6766.955","Sim"
"8402-OOOHJ","PJ","Não","41","Não","Não","Não","0","Duas vezes ao ano","PIX","120.651","1874.459","Não"
"9445-ZUEQE","PF","Sim","27","Sim","Sim","Mesa","0","Semestral","Boleto","85.2","2151.6","Não"
"1091-SOZGA","PJ","Sim","56","Sim","Sim","Mesa","1","Uma vez ao ano","Boleto","199.811","7251.743","Não"
"2928-HLDBA","PJ","Não","6","Não","Não","Não","0","Semestral","PIX","120.711","3548.323","Não"
"0404-SWRVG","PF","Não","3","Sim","Sim","Mesa","0","Semestral","Débito automático","74.4","229.55","Sim"
"6497-TILVL","PJ","Sim","7","Não","Não","Website","1","Semestral","PIX","150.711","1329.853","Não"
"7219-TLZHO","PJ","Sim","4","Não","Não","Não","0","Semestral","PIX","120.851","1151.656","Não"
"4622-YNKIJ","PF","Não","33","Sim","Não","Mesa","0","Duas vezes ao ano","Débito automático","88.95","3027.65","Não"
"4412-YLTKF","PJ","Não","27","Sim","Sim","Mesa","1","Semestral","Débito automático","178.051","1820.511","Sim"
"6734-PSBAW","PF","Sim","72","Sim","Sim","Não","0","Duas vezes ao ano","Transferência bancária","23.55","1723.95","Não"
"3930-ZGWVE","PF","Não","1","Não","Não","Não","0","Semestral","PIX","19.75","19.75","Não"
"2639-UGMAZ","PF","Não","71","Sim","Somente telefone","Website","1","Uma vez ao ano","Débito automático","56.45","3985.35","Não"
"2876-GZYZC","PJ","Não","13","Sim","Sim","Mesa","1","Semestral","Débito automático","185.951","1301.911","Não"
"6207-WIOLX","PJ","Sim","25","Sim","Somente telefone","Website","0","Semestral","Boleto","158.611","3046.051","Sim"
"8587-XYZSF","PF","Não","67","Não","Não","Website","0","Duas vezes ao ano","Transferência bancária","50.55","3260.1","Não"
"3091-FYHKI","PF","Não","1","Sim","Somente telefone","Website","0","Semestral","Débito automático","35.45","35.45","Sim"
"2372-HWUHI","PF","Não","2","Não","Não","Website","0","Semestral","Débito automático","44.35","81.25","Sim"
"7799-LGRDP","PJ","Não","43","Sim","Sim","Não","0","Duas vezes ao ano","Boleto","125.711","7895.151","Não"
"7850-VWJUU","PJ","Não","23","Sim","Não","Mesa","1","Semestral","Transferência bancária","125.721","1022.955","Não"
"3774-VBNXY","PJ","Sim","64","Não","Não","Não","0","Duas vezes ao ano","PIX","155.311","5283.567","Não"
"6217-KDYWC","PF","Não","57","Sim","Não","Não","0","Duas vezes ao ano","PIX","19.6","1170.55","Não"
"0390-DCFDQ","PJ","Sim","1","Sim","Não","Mesa","1","Semestral","PIX","164.711","1329.853","Sim"
"3146-MSEGF","PJ","Sim","72","Sim","Sim","Website","1","Duas vezes ao ano","Boleto","196.351","6425.65","Não"
"4080-OGPJL","PJ","Não","8","Não","Sim","Website","1","Semestral","Débito automático","166.151","1329.853","Sim"
"1095-WGNGG","PJ","Sim","61","Sim","Sim","Mesa","1","Duas vezes ao ano","Transferência bancária","199.911","1151.656","Não"
"2636-SJDOU","PF","Não","64","Sim","Sim","Mesa","0","Uma vez ao ano","Boleto","84.3","5289.05","Não"
"1131-QQZEB","PF","Sim","71","Não","Sim","Não","1","Duas vezes ao ano","Transferência bancária","23.95","1756.2","Não"
"5716-EZXZN","PJ","Sim","65","Sim","Sim","Mesa","1","Duas vezes ao ano","Boleto","714.811","1820.511","Não"
"6837-BJYDQ","PF","Não","3","Não","Não","Não","0","Uma vez ao ano","PIX","19.6","61.35","Não"
"2135-RXIHG","PF","Não","1","Sim","Não","Website","0","Semestral","Débito automático","45.65","45.65","Sim"
"6440-DKQGE","PF","Não","30","Não","Não","Website","0","Uma vez ao ano","Boleto","64.5","1929.95","Não"
"3466-BYAVD","PF","Sim","15","Sim","Não","Website","0","Semestral","PIX","69.5","1071.4","Não"
"3780-YVMFA","PJ","Sim","8","Sim","Não","Website","1","Semestral","Débito automático","917.851","1301.911","Não"
"3874-EQOEP","PF","Não","7","Não","Sim","Mesa","0","Semestral","PIX","95","655.5","Sim"
"1679-JRFBR","PJ","Sim","70","Sim","Sim","Mesa","1","Uma vez ao ano","Boleto","619.211","3046.051","Não"
"9073-ZZIAY","PF","Sim","62","Não","Não","Website","0","Duas vezes ao ano","Débito automático","86.1","5215.25","Não"
"3077-RSNTJ","PJ","Sim","6","Não","Não","Não","0","Semestral","PIX","201.751","7895.151","Não"
"6551-GNYDG","PJ","Sim","14","Sim","Não","Mesa","1","Semestral","Transferência bancária","791.851","1022.955","Não"
"9167-APMXZ","PJ","Não","22","Sim","Sim","Mesa","1","Semestral","Transferência bancária","761.211","5283.567","Não"
"2749-CTKAJ","PF","Sim","22","Não","Não","Não","0","Uma vez ao ano","PIX","20.15","419.9","Não"
"6371-NZYEG","PF","Sim","16","Não","Não","Website","0","Duas vezes ao ano","PIX","64.25","1024","Não"
"7554-NEWDD","PF","Não","10","Não","Sim","Não","0","Duas vezes ao ano","Transferência bancária","25.7","251.6","Não"
"8992-VONJD","PJ","Não","13","Sim","Não","Website","1","Semestral","Débito automático","841.523","1329.853","Não"
"0867-MKZVY","PJ","Sim","20","Não","Sim","Mesa","1","Semestral","Débito automático","280.652","3046.051","Sim"
"4482-EWFMI","PJ","Não","2","Sim","Não","Mesa","1","Semestral","Débito automático","264.153","7895.151","Não"
"4648-YPBTM","PF","Não","53","Sim","Sim","Website","0","Duas vezes ao ano","Transferência bancária","73.9","3958.25","Não"
"2907-ILJBN","PJ","Sim","11","Não","Não","Não","0","Uma vez ao ano","PIX","690.255","1151.656","Não"
"6345-FZOQH","PF","Sim","69","Não","Não","Não","0","Duas vezes ao ano","PIX","19.9","1363.45","Não"
"3376-BMGFE","PJ","Não","4","Sim","Não","Mesa","1","Semestral","Transferência bancária","799.177","1820.511","Sim"
"5997-OPVFA","PF","Sim","72","Sim","Sim","Website","0","Duas vezes ao ano","Transferência bancária","89.05","6254.45","Não"
"3445-HXXGF","PF","Sim","58","Sim","Somente telefone","Website","1","Semestral","Débito automático","45.3","2651.2","Sim"
"1159-WFSGR","PJ","Sim","16","Não","Não","Não","0","Semestral","Débito automático","169.511","1301.911","Não"
"7654-YWJUF","PF","Sim","43","Sim","Não","Mesa","0","Uma vez ao ano","Transferência bancária","84.25","3539.25","Não"
"1875-QIVME","PJ","Sim","2","Sim","Sim","Mesa","1","Semestral","Débito automático","180.651","3046.051","Sim"
"6727-IOTLZ","PF","Sim","14","Não","Não","Website","0","Duas vezes ao ano","PIX","81.95","1181.75","Não"
"0691-JVSYA","PJ","Sim","53","Sim","Não","Mesa","1","Uma vez ao ano","Transferência bancária","174.851","7895.151","Sim"
"5918-VUKWP","PJ","Não","32","Não","Não","Não","0","Uma vez ao ano","Transferência bancária","199.651","1022.955","Não"
"1744-JHKYS","PJ","Sim","34","Não","Sim","Não","0","Semestral","Débito automático","124.951","3046.051","Não"
"2656-FMOKZ","PJ","Não","15","Sim","Sim","Mesa","1","Semestral","PIX","107.578","7895.151","Sim"
"2070-FNEXE","PJ","Não","7","Não","Não","Mesa","1","Semestral","Transferência bancária","100.511","1151.656","Sim"
"5947-SGKCL","PJ","Sim","15","Sim","Sim","Mesa","1","Semestral","Transferência bancária","154.411","1820.511","Não"
"3712-PKXZA","PF","Sim","61","Sim","Não","Não","0","Uma vez ao ano","Boleto","20.55","1252","Não"
"6317-YPKDH","PJ","Não","1","Não","Somente telefone","Website","0","Semestral","Transferência bancária","294.434","1301.911","Sim"
"6582-OIVSP","PJ","Não","1","Não","Não","Website","1","Semestral","PIX","155.311","3046.051","Não"
"9367-WXLCH","PF","Não","8","Não","Sim","Mesa","0","Semestral","Transferência bancária","84.5","662.65","Sim"
"5524-KHNJP","PF","Sim","33","Não","Não","Website","0","Uma vez ao ano","Boleto","74.75","2453.3","Não"
"1918-ZBFQJ","PJ","Não","13","Sim","Não","Mesa","1","Semestral","Débito automático","119.85","7895.151","Sim"
"1024-GUALD","PJ","Sim","1","Sim","Somente telefone","Website","0","Semestral","Débito automático","170.734","1022.955","Sim"
"4827-USJHP","PF","Não","20","Sim","Não","Website","0","Semestral","PIX","51.8","1023.85","Não"
"8167-GJLRN","PF","Não","3","Não","Somente telefone","Website","0","Semestral","Débito automático","30.4","82.15","Não"
"0956-SYCWG","PJ","Não","13","Não","Não","Não","0","Uma vez ao ano","Débito automático","199.654","5283.567","Não"
"8017-UVSZU","PJ","Sim","40","Não","Sim","Website","1","Semestral","Boleto","129.753","4162.944","Não"
"7100-FQPRV","PF","Sim","43","Sim","Sim","Website","0","Uma vez ao ano","Boleto","71.9","3173.35","Não"
"2472-OVKUP","PF","Sim","6","Sim","Não","Mesa","0","Semestral","Débito automático","91","531","Sim"
"2984-RGEYA","PJ","Sim","69","Não","Não","Não","0","Duas vezes ao ano","Transferência bancária","204.822","3505.111","Não"
"9680-NIAUV","PJ","Sim","72","Não","Sim","Mesa","1","Duas vezes ao ano","Boleto","113.255","1530.623","Não"
"2146-EGVDT","PF","Sim","59","Não","Não","Não","0","Duas vezes ao ano","Boleto","19.3","1192.7","Não"
"2604-IJPDU","PJ","Sim","20","Sim","Não","Mesa","1","Semestral","Débito automático","320.655","1093.145","Não"
"9178-JHUVJ","PF","Sim","24","Sim","Sim","Não","0","Duas vezes ao ano","Transferência bancária","24.1","587.4","Não"
"6168-YBYNP","PF","Não","59","Sim","Sim","Mesa","0","Semestral","Débito automático","111.35","6519.75","Não"
"7255-SSFBC","PF","Sim","72","Sim","Sim","Mesa","0","Duas vezes ao ano","Transferência bancária","112.25","8041.65","Não"
"3645-DEYGF","PF","Não","1","Não","Não","Não","0","Semestral","PIX","20.75","20.75","Não"
"9323-HGFWY","PJ","Sim","27","Sim","Não","Mesa","1","Uma vez ao ano","Boleto","655.244","6766.955","Não"
"8544-GOQSH","PJ","Não","14","Sim","Não","Mesa","1","Semestral","Boleto","690.056","1874.459","Não"
"3363-DTIVD","PF","Sim","71","Não","Sim","Mesa","0","Duas vezes ao ano","Débito automático","105.55","7405.5","Não"
"7018-WBJNK","PF","Não","13","Sim","Não","Mesa","0","Semestral","Boleto","78.3","1033.95","Não"
"9142-KZXOP","PF","Não","44","Não","Não","Mesa","0","Semestral","Boleto","68.85","2958.95","Não"
"7674-YTAFD","PJ","Não","33","Sim","Não","Mesa","1","Uma vez ao ano","Transferência bancária","259.922","7251.743","Não"
"6348-SNFUS","PF","Sim","72","Sim","Somente telefone","Website","0","Duas vezes ao ano","Boleto","55.45","4179.2","Não"
"1285-OKIPP","PF","Não","1","Não","Não","Mesa","0","Semestral","Débito automático","79.9","79.9","Sim"
"7825-ECJRF","PJ","Não","19","Sim","Não","Mesa","1","Semestral","Débito automático","155.311","3548.323","Sim"
"1347-KTTTA","PF","Sim","64","Sim","Não","Mesa","0","Uma vez ao ano","Boleto","102.45","6654.1","Não"
"7841-TZDMQ","PF","Não","2","Sim","Não","Website","0","Semestral","Boleto","46","84.5","Sim"
"4195-NZGTA","PJ","Não","1","Não","Somente telefone","Website","0","Semestral","Débito automático","164.711","1329.853","Não"
"7157-SMCFK","PF","Não","61","Não","Não","Não","0","Duas vezes ao ano","PIX","19.75","1124.2","Não"
"4709-LKHYG","PJ","Sim","29","Não","Não","Não","0","Uma vez ao ano","Débito automático","196.351","1151.656","Não"
"2504-DSHIH","PF","Sim","23","Não","Sim","Mesa","1","Semestral","Débito automático","86.8","1975.85","Não"
"0699-NDKJM","PJ","Sim","57","Sim","Somente telefone","Website","0","Semestral","Transferência bancária","166.151","1820.511","Não"
"9286-BHDQG","PF","Sim","72","Não","Somente telefone","Website","0","Duas vezes ao ano","Boleto","45.25","3139.8","Não"
"0230-WEQUW","PF","Sim","66","Sim","Somente telefone","Website","0","Duas vezes ao ano","Transferência bancária","56.6","3789.2","Não"
"2040-LDIWQ","PF","Sim","65","Sim","Sim","Website","0","Duas vezes ao ano","Transferência bancária","84.2","5324.5","Não"
"6496-JDSSB","PJ","Não","8","Sim","Não","Mesa","1","Semestral","Transferência bancária","199.911","1301.911","Não"
"9408-SSNVZ","PJ","Não","4","Sim","Não","Mesa","1","Semestral","Débito automático","714.811","3046.051","Sim"
"4443-EMBNA","PJ","Sim","71","Não","Sim","Não","0","Duas vezes ao ano","Transferência bancária","917.851","7895.151","Não"
"6469-MRVET","PF","Sim","1","Sim","Não","Não","0","Uma vez ao ano","Débito automático","20.2","20.2","Não"
"0742-MOABM","PF","Sim","4","Não","Não","Website","0","Semestral","PIX","50.05","179.35","Sim"
"5961-VUSRV","PJ","Não","12","Sim","Não","Não","0","Uma vez ao ano","Transferência bancária","619.211","1022.955","Não"
"6778-JFCMK","PF","Não","24","Sim","Somente telefone","Website","0","Uma vez ao ano","PIX","50.6","1288.75","Não"
"6341-JVQGF","PJ","Sim","31","Sim","Não","Website","1","Uma vez ao ano","PIX","201.751","5283.567","Não"
"2232-DMLXU","PJ","Sim","1","Não","Não","Website","1","Semestral","PIX","791.851","1329.853","Sim"
"4811-JBUVU","PF","Não","30","Sim","Sim","Mesa","0","Semestral","Boleto","89.9","2723.15","Não"
"0945-TSONX","PJ","Sim","47","Sim","Sim","Website","1","Duas vezes ao ano","Boleto","761.211","3046.051","Não"
"2651-ZCBXV","PF","Não","54","Sim","Sim","Mesa","0","Duas vezes ao ano","Boleto","108","5760.65","Não"
"3316-UWXUY","PF","Não","50","Sim","Não","Mesa","0","Semestral","Boleto","93.5","4747.5","Não"
"8937-RDTHP","PF","Não","1","Sim","Não","Mesa","0","Semestral","PIX","84.6","84.6","Sim"
"7083-MIOPC","PJ","Não","72","Não","Não","Não","0","Duas vezes ao ano","Boleto","119.85","7895.151","Não"
"1984-GPTEH","PJ","Não","29","Não","Sim","Não","0","Semestral","Débito automático","170.734","702","Não"
